text,label
"New England Testing Laboratory, Inc.",ORG
4,CARDINAL
3/5/13,DATE
72.48,CARDINAL
3/11/13 3/11/13,DATE
"New England Testing Laboratory, Inc.",ORG
5,CARDINAL
6,CARDINAL
1,CARDINAL
75.49,CARDINAL
7,CARDINAL
75.24,CARDINAL
0.87,CARDINAL
6.69,CARDINAL
3/11/13 3/1/13,DATE
8,CARDINAL
76.86,CARDINAL
"New England Testing Laboratory, Inc.",ORG
9,CARDINAL
3/5/13 Matrix,DATE
74.84,CARDINAL
"New England Testing Laboratory, Inc.",ORG
3/11/13 3/11/13,DATE
10,CARDINAL
68.95,CARDINAL
3/11/13 3/11/13,DATE
"New England Testing Laboratory, Inc.",ORG
11,CARDINAL
3/5/13 Matrix,DATE
70.92,CARDINAL
"New England Testing Laboratory, Inc.",ORG
12,CARDINAL
3/5/13 Matrix,DATE
62.2,CARDINAL
3/11/13 3/11/13,DATE
"New England Testing Laboratory, Inc.",ORG
13,CARDINAL
18,CARDINAL
72.16,CARDINAL
3/11/13 3/11/13,DATE
14,CARDINAL
73.42,CARDINAL
15,CARDINAL
100,CARDINAL
16,CARDINAL
"New England Testing Laboratory, Inc.",ORG
17,CARDINAL
Netlab,ORG
